image_fn,image_ts,gems_plant_id,lat,lon,capacity,generation,capacity_factor,temperature,daily_max_temp,daily_min_temp,daily_avg_temp,wind_speed,wind_direction,wind_gust,precipitation,daily_total_snow,humidity,visibility,cloud_cover_weather,dew_point
1021312_COPERNICUS-S2-20180719T103019_20180719T103020_T32UND.npy,2018-07-19 10:30:20.460000+00:00,1021312,52.315,10.094,752,689,0.92,25,25,14,23,11,338,12,0,0,40,10,10,11
1017452_COPERNICUS-S2-20160816T104022_20160816T161141_T31UGS.npy,2016-08-16 10:40:25.461000+00:00,1017452,50.974621,6.987969,864,426.18,0.49,23,23,12,20,8,10,9,0,0,56,10,7,14
1014675_COPERNICUS-S2-20190401T105029_20190401T105221_T31UER.npy,2019-04-01 10:57:12+00:00,1014675,50.297213,3.314945,605,481,0.8,13,18,7,13,14,73,17,0,0,60,10,10,6
1023682_COPERNICUS-S2-20201116T091241_20201116T091338_T35TMG.npy,2020-11-16 09:18:48.131000+00:00,1023682,42.254053,26.134007,1593,228,0.14,10,13,6,10,4,221,5,0,0,66,10,6,4
1017452_COPERNICUS-S2-20210211T104151_20210211T104437_T32ULB.npy,2021-02-11 10:46:48.499000+00:00,1017452,50.974621,6.987969,864,657.8,0.76,-2,1,-5,-2,2,175,2,0,0,69,10,7,-7
27965_COPERNICUS-S2-20180717T162829_20180717T163718_T16TDM.npy,2018-07-17 16:37:18.200000+00:00,27965,41.7208,-86.9086,540,0,0,24,24,19,23,18,18,22,0,0,68,10,9,18
27965_COPERNICUS-S2-20180617T162829_20180617T163701_T16TEM.npy,2018-06-17 16:37:01.160000+00:00,27965,41.7208,-86.9086,540,435,0.81,29,30,23,27,16,207,28,0,0,69,10,10,22
1016599_COPERNICUS-S2-20190910T104021_20190910T104604_T31UFT.npy,2019-09-10 10:46:38.850000+00:00,1016599,51.71,4.844,645,0,0,20,20,11,16,7,304,8,0,0,45,10,16,7
1019815_COPERNICUS-S2-20180402T102021_20180402T102435_T32UQU.npy,2018-04-02 10:24:35+00:00,1019815,48.455287,11.799544,524,0,0,10,13,1,9,8,158,9,0,0,53,10,20,1
16324_COPERNICUS-S2-20180405T161859_20180405T162509_T16SFJ.npy,2018-04-05 16:25:09.060000+00:00,16324,39.1128,-84.8036,1180.8,0,0,9,9,-2,6,5,249,6,0,0,36,10,44,-5
1019815_COPERNICUS-S2-20200518T101031_20200518T101258_T32UQU.npy,2020-05-18 10:17:32.366000+00:00,1019815,48.455287,11.799544,524,0,0,20,21,10,18,6,258,8,0,0,58,10,0,11
1021366_COPERNICUS-S2-20200419T102549_20200419T103515_T33UUA.npy,2020-04-19 10:35:33.564000+00:00,1021366,54.142799,12.132865,553,0,0,10,11,4,9,7,109,9,0,0,53,10,1,1
1017452_COPERNICUS-S2-20200810T103629_20200810T103640_T31UGS.npy,2020-08-10 10:46:54.927000+00:00,1017452,50.974621,6.987969,864,405.83,0.47,33,34,23,30,7,141,9,0,0,37,10,35,16
1014414_COPERNICUS-S2-20200805T104031_20200805T104028_T31UES.npy,2020-08-05 10:47:05.075000+00:00,1014414,50.802394,4.301932,553,0,0,25,27,15,23,13,211,15,0,0,39,10,7,10
16324_COPERNICUS-S2-20200919T162951_20200919T163423_T16SFJ.npy,2020-09-19 16:42:40.545000+00:00,16324,39.1128,-84.8036,1180.8,596,0.5,16,19,7,14,14,56,17,0,0,48,10,0,5
1021366_COPERNICUS-S2-20171221T103429_20171221T103428_T33UUA.npy,2017-12-21 10:34:28.460000+00:00,1021366,54.142799,12.132865,553,505,0.91,6,7,4,6,19,299,28,0,0,85,10,49,4
1023682_COPERNICUS-S2-20200225T090849_20200225T091800_T35TMG.npy,2020-02-25 09:18:41.936000+00:00,1023682,42.254053,26.134007,1593,461,0.29,8,12,3,8,11,217,13,0,0,51,10,7,-1
27965_COPERNICUS-S2-20180831T162901_20180831T163920_T16TEM.npy,2018-08-31 16:39:20.610000+00:00,27965,41.7208,-86.9086,540,387,0.72,23,25,16,22,11,170,15,0,0,83,10,7,20
1016434_COPERNICUS-S2-20200421T102021_20200421T102636_T32UNV.npy,2020-04-21 10:27:17.316000+00:00,1016434,49.175277,9.207428,778,0,0,14,17,7,13,26,81,31,0,0,45,10,7,2
1023682_COPERNICUS-S2-20160501T091509_20160501T111555_T35TMG.npy,2016-05-01 09:15:09.868000+00:00,1023682,42.254053,26.134007,1593,513,0.32,19,19,6,15,20,89,23,0,0,45,10,18,7
1014414_COPERNICUS-S2-20200626T104031_20200626T104404_T31UES.npy,2020-06-26 10:47:04.579000+00:00,1014414,50.802394,4.301932,553,376.88,0.68,28,28,20,25,12,161,14,0,0,51,10,16,17
1021312_COPERNICUS-S2-20171019T102019_20171019T102055_T32UNC.npy,2017-10-19 10:20:55.540000+00:00,1021312,52.315,10.094,752,0,0,20,20,10,16,9,146,10,0,0,60,10,7,12
1014414_COPERNICUS-S2-20180715T105029_20180715T105300_T31UES.npy,2018-07-15 10:53:00.590000+00:00,1014414,50.802394,4.301932,553,0,0,28,29,17,26,9,60,10,0,0,34,10,8,11
1025784_COPERNICUS-S2-20181116T103309_20181116T103311_T32UMD.npy,2018-11-16 10:36:17.160000+00:00,1025784,52.381609,8.998612,911,853.48,0.94,9,10,3,6,12,117,16,0,0,62,10,5,2
1017452_COPERNICUS-S2-20160508T104027_20160508T163213_T31UGS.npy,2016-05-08 10:40:27.456000+00:00,1017452,50.974621,6.987969,864,0,0,23,24,14,21,21,112,25,0,0,41,10,0,9
1019815_COPERNICUS-S2-20201008T102031_20201008T102029_T32UPU.npy,2020-10-08 10:27:32.951000+00:00,1019815,48.455287,11.799544,524,0,0,12,12,6,10,13,243,16,0,0,77,10,79,8
1019815_COPERNICUS-S2-20170822T101031_20170822T101057_T32UPU.npy,2017-08-22 10:10:57.930000+00:00,1019815,48.455287,11.799544,524,457.75,0.87,21,21,11,18,3,24,3,0,0,51,10,25,11
1021366_COPERNICUS-S2-20200928T102031_20200928T102456_T33UUA.npy,2020-09-28 10:25:47.658000+00:00,1021366,54.142799,12.132865,553,514.5,0.93,14,14,11,13,12,192,15,0.1,0,89,2,100,12
1016599_COPERNICUS-S2-20200719T105031_20200719T105224_T31UFT.npy,2020-07-19 10:56:42.439000+00:00,1016599,51.71,4.844,645,481.43,0.75,22,22,14,19,14,247,16,0,0,63,10,32,14
1066825_COPERNICUS-S2-20200731T103629_20200731T104607_T32ULC.npy,2020-07-31 10:46:38.595000+00:00,1066825,51.614,7.462,800,0,0,28,29,17,25,12,80,13,0,0,44,10,3,14
1026316_COPERNICUS-S2-20210406T093029_20210406T093520_T34TEL.npy,2021-04-06 09:39:04.045000+00:00,1026316,40.812251,21.602701,330,0,0,12,15,5,11,8,202,11,0,0,51,10,21,2
1021366_COPERNICUS-S2-20190604T103029_20190604T103030_T32UPF.npy,2019-06-04 10:35:51+00:00,1021366,54.142799,12.132865,553,506.93,0.92,20,20,14,18,7,23,9,0.1,0,81,10,86,16
1021366_COPERNICUS-S2-20180520T103019_20180520T103458_T33UUA.npy,2018-05-20 10:34:58.260000+00:00,1021366,54.142799,12.132865,553,0,0,17,17,8,14,16,85,21,0,0,56,10,8,8
1016599_COPERNICUS-S2-20180826T104021_20180826T104155_T31UFT.npy,2018-08-26 10:41:55.260000+00:00,1016599,51.71,4.844,645,492.35,0.76,19,19,10,15,19,190,22,0,0,48,10,100,8
